"Station","Vars","Mean","Minimum","First_Quartile","Median","Third_Quartile","Maximum","Std_Dev","Kurtosis","Skewness","Spearman_Correlation","Spearman_Pval"
"bobo","tx",33.4634969885016,20.7,31,33.6,35.8,41.7,3.30663594458189,2.59646354715829,-0.16713686591533,0.72014548532974,0
"bobo","tn",22.0342215732798,12.3,20.5,22,23.5,29.7,2.50725345320696,3.12272372906417,-0.042620477949307,0.331030542940934,1.73600309372961e-278
"bobo","rs",16.4754462920744,2.60016597018203,15.0168266628589,16.9765930891116,18.41,24.91,2.69518668241801,4.3246957807782,-0.981903008835152,0.543621647412035,0
"bobo","rh",54.3125097355015,7,30,60,76,95,23.6045038976423,1.62375836145329,-0.308412891617887,-0.722860228177291,0
"bobo","ws",1.629600174689,0.06,1.28,1.61,2,5.5,0.562751325613017,3.68176329219066,0.350742511025895,0.455616810252703,0
"bobo","et0",4.53165355989683,0.572250009178488,3.79632187979665,4.43730685440442,5.28498263243484,8.91195457898898,1.08680789496687,2.8877044290264,0.15231992054579,1,0
"boromo","tx",35.4599653221391,23.2,32.9,35.6,38,44.2,3.56127969144356,2.54257187434931,-0.191068509699912,0.567279696407227,0
"boromo","tn",22.0185800328527,10.2,19.8,22.4,24.3,31.2,3.6542742979724,2.6965497908051,-0.265567039932467,0.548480415556407,0
"boromo","rs",17.9523919976637,0.01,16.3671188868287,18.62,20.4345183635749,27.59,3.65134505381695,5.55938507230414,-1.3377711631861,0.782308788657162,0
"boromo","rh",51.4754831011258,9,30,53,72,93,21.4029793523773,1.59268800666324,-0.103090973929023,-0.21106119786267,1.3930796358456e-110
"boromo","ws",0.663311559548731,0,0.44,0.61,0.836361656163897,2.67,0.356452895277768,4.12008595501421,0.852539315981839,0.488310931466035,0
"boromo","et0",4.09036240260635,-0.0592241675134131,3.51766119343588,4.09148470282296,4.68983182108609,7.53706317439232,0.927965442375609,3.73190740632357,-0.264377915739139,1,0
"dori","tx",37.2711584461553,23.9,34.5,37.5,40.2,47.5,4.06709183439243,2.53804259391778,-0.242444148708446,0.596701046887654,0
"dori","tn",22.6763276821678,7.8,18.825,23.5,26.3,34.7,4.93752115700073,2.3455666081326,-0.351826306238319,0.662674477875169,0
"dori","rs",19.9254978759307,0.03,18.3717680556159,20.3274559477665,22.3267091843957,29.39,3.37376441838046,5.03342546933652,-1.10244894596607,0.729212027234533,0
"dori","rh",42.885569424358,7,28,38,59,90,18.298796879984,2.02357571565984,0.409891862675062,0.0510126234501486,9.14739413449539e-08
"dori","ws",0.67486480099566,0,0.405336782788361,0.61,0.89,3.28,0.389974340649039,4.07544021357085,0.928872994278272,0.488398158215992,0
"dori","et0",4.49087555487025,0.21375904319004,3.70776448576665,4.49311749652152,5.19439257476641,8.03093290539946,1.01147520763595,2.73178600135555,0.0818382300595191,1,0
"dedougou","tx",35.7898489528154,22.5,33,36,38.5,45.2,3.67690736797608,2.47046788781394,-0.16083852647536,0.628712622531938,0
"dedougou","tn",22.4121409738615,2.8,20.3,22.5,24.5,32.5,3.50474729189414,2.95045699927981,-0.129634214295873,0.35602180370686,0
"dedougou","rs",18.3021604405724,2.42012706220841,16.8360099591828,18.6423451608893,20.4136471909617,35.7,3.28387673657444,5.22989677298606,-0.492787155210558,0.548673846889379,0
"dedougou","rh",47.9698455776789,7,26,47,71,96,23.2260786959462,1.55969449293601,0.0577602033297289,-0.558742390624855,0
"dedougou","ws",1.3379166374408,0,0.89,1.28,1.72,6.11,0.604562041502669,3.54175082091312,0.571410151148123,0.642705769052141,0
"dedougou","et0",4.92521846802759,0.915850160964294,4.17836989872792,4.77411540655672,5.70123224545494,10.7248716531024,1.18787675866956,3.23279413361661,0.26135846670442,1,0
"fada","tx",35.2908030800347,21.6,32.5,35.5,38,44.5,3.75098975349941,2.38674570127286,-0.131910111749,0.559380950830363,0
"fada","tn",22.4445416351395,11,20.4,22.6,24.5,31.8,3.36916322984031,2.77699975404364,-0.106226123648221,0.504289441851359,0
"fada","rs",18.4098712961883,0.1,16.7394570486751,18.8341302526637,20.7506206928465,45.8,3.48039154732738,5.20797835974913,-0.663276616320103,0.719923906998576,0
"fada","rh",50.9040615988061,8,27,51,74,95,23.8052357946009,1.52470836437576,-0.0250853788643933,-0.301326681530077,8.80744112689507e-229
"fada","ws",0.822072552880839,0,0.5,0.78,1.11,3.56,0.432715040041095,3.38760922956937,0.671591701001811,0.549247072868273,0
"fada","et0",4.31496616287653,0.454521773092591,3.71832309600777,4.31430116562919,4.89864918153953,10.3908428903462,0.961214355867576,3.72587713889889,0.0625859119851052,1,0
"gaoua","tx",34.1640600601066,23.5,31.8,34.5,36.5,42.2,3.21026705569202,2.5416241878018,-0.287238805616475,0.605228659992488,0
"gaoua","tn",21.5805560276652,10,20,22.2,23.7,30.3,3.47444163130111,3.04594196209012,-0.609391866341684,0.408372036316444,0
"gaoua","rs",16.4065456189539,0.23,14.7551208250405,17.0765529268804,18.8338786852047,26.48,3.50838325370521,5.54181965989797,-1.30242336614343,0.802762633439148,0
"gaoua","rh",59.6230064613819,9,44,64,76,94,18.9047725509622,1.98959059432719,-0.487636534195101,-0.422693638316845,0
"gaoua","ws",0.905818489591722,0,0.56,0.83,1.17,3.61,0.482174459428356,3.87481436546465,0.872985414917873,0.464865384629867,0
"gaoua","et0",3.9015925296835,0.0330299353837286,3.3550518626929,3.8956475122006,4.47483078311036,8.17887928076321,0.934570080491796,4.01115703233135,-0.235123558022646,1,0
"ouaga","tx",35.3960485490053,21.1,32.9,35.5,37.9,44.5,3.51083329620064,2.54985244177461,-0.125141146307687,0.702472702266961,0
"ouaga","tn",22.5353166636247,10.1,20,22.9,25.2,33,3.87248176705294,2.59961394657107,-0.221131478147704,0.402240411126486,0
"ouaga","rs",17.2736815301064,0.69,15.7,17.8,19.67,28.4,3.3875504863741,4.82892757614798,-1.15220815966179,0.684456611067624,0
"ouaga","rh",49.2601822033199,10,30,48,69,91,20.388235889751,1.64850250235601,0.0542372727992281,-0.434124291003208,0
"ouaga","ws",1.28489498723236,0,0.89,1.28,1.61,3.5,0.488588145643465,3.21459290938003,0.465525658000062,0.561203771420612,0
"ouaga","et0",4.6254121953328,0.696747959553304,3.94880103679523,4.55346115784238,5.31061546081297,9.54246322147907,1.1073281864297,3.4382939943996,0.0284233918024084,1,0
"ouahigouya","tx",35.878256256896,21.1,33.1,36,38.6,45.1,3.80328283512862,2.53063559796795,-0.196732916680417,0.647487864587358,0
"ouahigouya","tn",23.1157812190911,2.3,20.7,23.3,25.6,33.9,3.8113421275769,2.8224885273468,-0.202613311126081,0.567646620367247,0
"ouahigouya","rs",17.6317074422969,2.27102731685641,16.2555113540007,18.01,19.7971256573109,28.15,3.03786030578289,4.5223958749897,-0.997973980305384,0.619932715813349,0
"ouahigouya","rh",43.1211030749171,6.5958057443541,23,38,64,92,22.2887425433386,1.70612035688746,0.309666857587679,-0.257060448084953,6.72553843961042e-165
"ouahigouya","ws",1.26739104073679,0,0.83,1.17,1.61,3.94,0.584693528897459,3.92153668898595,0.830550509850425,0.63249526729598,0
"ouahigouya","et0",4.75528695230159,0.678969577223067,4.00043165231392,4.62989157547842,5.45970556688996,9.01043187330347,1.13479459783083,3.22740504456683,0.357473662634438,1,0
"po","tx",34.527076108779,22.9,32,34.7,37.1,43.8,3.54499361001363,2.47962521461192,-0.187951147833531,0.607607266078239,0
"po","tn",22.2504580278574,2.1,20.5,22.2,24,30.5,2.92438855088912,3.10120360223535,-0.0701542114706002,0.371213469807512,0
"po","rs",17.5811723415666,0.09,16.1420268072594,18.1842723604432,19.9,28.1,3.28799568773632,4.54768481292283,-1.14133793145629,0.689090811119215,0
"po","rh",52.8444289031505,6.31863176380456,29,57,76,96,24.2301216628532,1.58258370270363,-0.211322532320878,-0.478877836575683,0
"po","ws",0.838095157299147,0,0.5,0.78,1.11,4.39,0.455634833087425,4.08122340860505,0.745171247262805,0.601309081640745,0
"po","et0",4.19077580401869,0.0568216432362169,3.62548524639794,4.18384089280167,4.77344924847558,8.38912683468987,0.955675543043694,3.54785039898923,-0.0820589135448024,1,0
